"Source:","/home/animeman/Documents/GitHub/CVBS-Ossiliscope-Monitor/tht/cvbs-oscilloscope-meter.kicad_sch"
"Date:","Mon 06 Jun 2022 10:54:27 PM EDT"
"Tool:","Eeschema 6.0.5"
"Generator:","/app/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","54"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","100n","Device:C","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","~"
"","","C2","22n","Device:C","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","~"
"","","C3","0.1u","Device:C","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","~"
"","","C4","0.1u","Device:C","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","~"
"","","C5","10n","Device:C","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","~"
"","","C6","10u","Device:C_Polarized_Small_US","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"","","C7","0.1u","Device:C_Small","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","~"
"","","C8","10u","Device:C_Polarized_Small_US","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"","","C9","0.33u","Device:C_Small","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","~"
"","","C10","0.1u","Device:C_Small","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","~"
"","","C11","10u","Device:C_Polarized_Small_US","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"","","C16","10u","Device:C_Polarized_Small_US","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"","","C17","0.1u","Device:C_Small","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","~"
"","","D1","1N4148","Device:D_Filled","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"","","D2","1N4148","Device:D_Filled","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"","","D3","Indicator","Device:LED_Filled","LED_THT:LED_D5.0mm","~"
"","","J1","Conn_Coaxial_Power","Connector:Conn_Coaxial_Power","Connector_Coaxial:BNC_TEConnectivity_1478035_Horizontal","~"
"","","J2","Conn_Coaxial_Power","Connector:Conn_Coaxial_Power","Connector_Coaxial:BNC_TEConnectivity_1478035_Horizontal","~"
"","","J3","Conn_Coaxial_Power","Connector:Conn_Coaxial_Power","Connector_Coaxial:BNC_TEConnectivity_1478035_Horizontal","~"
"","","J4","Conn_Coaxial_Power","Connector:Conn_Coaxial_Power","Connector_Coaxial:BNC_TEConnectivity_1478035_Horizontal","~"
"","","J5","Barrel_Jack_Switch","Connector:Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal","~"
"","","J6","Molex 3.96mm","Connector_Generic:Conn_01x02","Connector_Molex:Molex_KK-396_A-41791-0002_1x02_P3.96mm_Vertical","~"
"","","L1","22u","Device:L","Inductor_THT:L_Axial_L11.0mm_D4.5mm_P15.24mm_Horizontal_Fastron_MECC","~"
"","","MK1","MountingHole_Pad","Mechanical:MountingHole_Pad","Mounting_Holes:MountingHole_3.2mm_M3_ISO7380","~"
"","","MK2","MountingHole_Pad","Mechanical:MountingHole_Pad","Mounting_Holes:MountingHole_3.2mm_M3_ISO7380","~"
"","","MK3","MountingHole_Pad","Mechanical:MountingHole_Pad","Mounting_Holes:MountingHole_3.2mm_M3_ISO7380","~"
"","","MK4","MountingHole_Pad","Mechanical:MountingHole_Pad","Mounting_Holes:MountingHole_3.2mm_M3_ISO7380","~"
"","","Q1","2N3906","Transistor_BJT:2N3906","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3906-D.PDF"
"","","Q2","2N3906","Transistor_BJT:2N3906","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3906-D.PDF"
"","","Q3","2N3904","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"","","Q4","2N3904","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"","","Q5","2N3904","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"","","Q6","2N3904","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"","","R1","6.8k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R2","6.8k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
